ticker,signal,strength,weighted_sentiment,bullish_pct,bearish_pct,mentions,avg_confidence
CRWD,BUY,Moderate,54.63414634146344,86.58536585365853,13.414634146341465,82,71.95121951219512
PDD,BUY,Moderate,54.561855670103064,87.62886597938144,12.371134020618557,194,70.74742268041237
ARM,BUY,Moderate,54.53846153846153,87.6923076923077,12.307692307692308,65,71.15384615384616
MRK,BUY,Moderate,54.28571428571429,85.71428571428571,14.285714285714285,7,72.85714285714286
IEP,SELL,Moderate,-53.79999999999999,12.0,88.0,25,69.0
WDAY,BUY,Moderate,53.75000000000001,87.5,12.5,8,71.25
LULU,BUY,Moderate,53.6111111111111,88.88888888888889,11.11111111111111,18,67.5
ACB,BUY,Moderate,53.571428571428584,85.71428571428571,14.285714285714285,7,70.71428571428571
AIFF,BUY,Moderate,53.571428571428584,85.71428571428571,14.285714285714285,7,67.85714285714286
CVX,BUY,Moderate,53.57142857142857,85.71428571428571,14.285714285714285,7,75.0
FUTU,BUY,Moderate,53.57142857142857,85.71428571428571,14.285714285714285,7,73.57142857142857
TSLL,BUY,Moderate,53.33333333333334,86.66666666666667,13.333333333333334,15,74.66666666666667
EVO,BUY,Moderate,53.333333333333336,83.33333333333334,16.666666666666664,6,73.33333333333333
CEG,BUY,Moderate,53.333333333333336,86.66666666666667,13.333333333333334,15,70.0
HSI,BUY,Moderate,52.98507462686566,85.07462686567165,14.925373134328357,67,71.19402985074628
EBIT,BUY,Moderate,52.85714285714286,85.71428571428571,14.285714285714285,7,74.28571428571429
RSP,BUY,Moderate,52.85714285714286,85.71428571428571,14.285714285714285,7,70.0
MPWR,BUY,Moderate,52.85714285714286,85.71428571428571,14.285714285714285,7,74.28571428571429
FXI,BUY,Moderate,52.79411764705883,85.29411764705883,14.705882352941178,34,70.44117647058823
LCID,BUY,Moderate,52.66666666666667,86.66666666666667,13.333333333333334,15,72.66666666666667
FRHC,SELL,Moderate,-52.5,9.090909090909092,90.9090909090909,22,65.68181818181819
CDNS,BUY,Moderate,52.5,83.33333333333334,16.666666666666664,6,75.83333333333333
X,BUY,Moderate,52.222222222222214,88.88888888888889,11.11111111111111,9,67.77777777777777
BITF,BUY,Moderate,52.142857142857146,85.71428571428571,14.285714285714285,7,72.14285714285714
RIOT,BUY,Moderate,52.08955223880597,85.07462686567165,14.925373134328357,67,72.98507462686567
SHOP,BUY,Moderate,52.08860759493674,84.81012658227847,15.18987341772152,79,72.72151898734177
GRAB,BUY,Moderate,52.000000000000014,84.26966292134831,15.730337078651685,89,70.98876404494382
FICO,BUY,Moderate,51.92307692307693,84.61538461538461,15.384615384615385,13,71.15384615384616
GOLD,BUY,Moderate,51.87500000000001,87.5,12.5,8,69.375
TRTCH,BUY,Moderate,51.72413793103452,87.35632183908046,12.643678160919542,87,68.73563218390805
